ip,score,categories
194.44.12.92,100,"['Port Scan', 'Hacking']"
79.124.56.254,100,['Port Scan']
194.26.29.158,100,"['Port Scan', 'Hacking', 'Brute-Force', 'DDoS Attack', 'Web App Attack', 'Exploited Host']"
80.75.212.75,100,"['Port Scan', 'Hacking', 'Exploited Host', 'DDoS Attack', 'Brute-Force', 'Web App Attack', 'IoT Targeted']"
80.75.212.37,100,"['Hacking', 'Port Scan', 'Brute-Force']"
79.124.56.250,62,['Port Scan']
5.239.244.88,11,[]
192.168.70.6,0,[]
115.186.176.148,0,[]
192.168.70.2,0,[]
